node_1,node_2
3225,6617
2691,5968
1877,5842
3430,5832
350,6498
213,612
472,2994
1291,4720
2777,3575
4705,7318
1752,4119
1672,3766
3544,5363
1200,2217
291,5658
2647,4335
3633,4955
1506,7100
1960,5832
1107,7338
848,4735
1749,3774
93,662
49,6605
682,3460
656,5372
4864,5410
2186,6639
51,7135
3395,6833
2259,4785
2717,6088
4703,7078
4811,5557
550,7186
1486,3822
2371,4184
2327,6578
349,2205
2128,4996
2308,6785
5836,6241
1889,7421
1016,2745
2259,2955
5550,5706
6836,7009
2930,7534
4336,5465
1349,3842
3938,4549
805,7237
911,7032
3210,4356
2918,3470
920,3663
3188,4889
2458,6887
2414,5520
4123,4504
3611,3625
1611,1845
496,3110
6134,6458
643,7423
3818,4422
2197,7090
1462,3382
1005,4008
632,4688
1056,2663
54,2615
3059,5521
6095,7304
3520,6702
2398,5816
2954,5323
2734,5548
5822,7237
5783,6016
1606,6519
3715,6621
1384,3418
3230,6476
2897,3900
2840,4765
1905,2229
1640,1945
3921,7545
2299,6411
2280,7409
248,4944
1008,4126
4785,6713
418,5174
1372,3544
1262,2713
4359,4461
2851,3793
313,4750
6380,7059
5637,7110
3584,4206
2644,2798
2424,6378
406,4353
21,5764
2790,2933
3636,6012
2029,7179
1271,2892
4122,5901
5029,6991
290,6857
378,7237
122,2386
1280,6654
2955,3622
3039,6431
1559,1606
6391,6639
1005,2751
3936,5858
2083,3544
4762,5128
3644,6108
1376,4319
65,2916
5407,7580
2482,4125
1838,7490
4437,6892
2458,3781
1941,6519
3751,4692
406,3108
4880,4950
405,6252
4572,6882
6991,7256
5089,5508
2694,4000
6242,6701
4705,6395
1334,6891
2265,7001
537,3042
4667,7579
174,1610
3530,6319
634,5785
4368,5981
1528,3039
1571,3381
5282,6361
1755,4886
5988,7354
2043,3764
3854,5632
2170,3103
4328,6269
4128,5274
1830,7216
2478,2736
2765,5268
1761,3152
799,6953
1381,3544
5769,6841
5670,7123
958,3987
1629,7266
2365,6017
524,1417
4259,6323
1222,6241
1429,4683
3348,5646
594,3136
2390,7237
1795,6564
1636,6876
1882,3339
1439,3238
4137,6738
112,3342
260,2275
3873,4163
4106,5127
904,4324
4261,6966
1494,6767
4480,5848
4718,5159
1670,4725
3670,6163
660,3271
4280,6323
3162,6851
2672,6490
5802,6644
